Kommentarer__0-5_,Kvinne,Musescore,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Levde_når_link,Lyrikk,Lyrikk_link,Unnamed_8,Unnamed_8_link,Når_komponert,Når_komponert_link,Unnamed_10,Unnamed_10_link,Unnamed_11,Diverse_kommentarer,Diverse_kommentarer_link,Egne_noter,Forlag,Platenr_,Unnamed_16
4,K,x,Fløitende Stær,https://musescore.com/user/26911315/scores/11745850,"Bjelke-Andersen, Olga",https://no.wikipedia.org/wiki/Olga_Bjelke-Andersen,1857 - 1940,,"Jynge, Andreas",https://no.wikipedia.org/wiki/Andreas_Jynge,1879 - 1955,,1902,,,,,,,,,,
3,,x,Menuet,https://musescore.com/user/26911315/scores/14504917,"Bjerke, Ole",https://snl.no/Ole_Bjerke,1811 - 1881,,,,,,1840s?,,Published 1896,,,,,,Haakon Zapffe,217,
3,,x,En Stub,https://musescore.com/user/26911315/scores/18241156,"Bjærum, Nicolai S.",,1842 - 1913,,,,,,1887,,Nordisk Musiktidende  no 10 1887,,,,,,Carl Warmuth,,
,,x,O' vidste du bare,https://musescore.com/user/26911315/scores/6222338,"Bjørnson, Bjørn",https://no.wikipedia.org/wiki/Bjørn_Bjørnson,1859 - 1942,,"Bjørnson, Bjørnstjerne ",https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832- 1910,,1891 (Folkebladet),, Note 1895,,,,,,Wilhelm-Hansen,11600,
,,x,Du blomst i dug,https://musescore.com/user/26911315/scores/6286078,"Bjørset, Karl",https://www.allkunne.no/framside/biografiar/b/karl-bjorset/85/1689/,1854 - 1912,,Jens Peter Jacobsen,https://no.wikipedia.org/wiki/Jens_Peter_Jacobsen,1847 - 1885,,1904,,,,,,,,Carl Warmuth,2659,
,,x,Dulgt kjærlighed,https://musescore.com/user/26911315/scores/6283097,"Bjørset, Karl",https://www.allkunne.no/framside/biografiar/b/karl-bjorset/85/1689/,1854 - 1912,,"Bjørnson, Bjørnstjerne ",https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832- 1910,,1888,,Op. 1,,,,,,Brødrene Hals,355,
,,,1905 vals,https://musescore.com/user/26911315/scores/8684925,"Bodom, Erika",https://no.wikipedia.org/wiki/Erika_Bodom,1861 - 1942,,,,,,1910,,Composer Ole Reitan,,,,,,,,
,K,x,Gammel norsk Bryllupsmarsch,https://musescore.com/user/26911315/scores/6552314,"Bodom, Erika",https://no.wikipedia.org/wiki/Erika_Bodom,1861 - 1942,,,,,,1907,,,,,,,Ikke egne noter.,,,
,K,x,Hon band sin krans,https://musescore.com/user/26911315/scores/6303339,"Bodom, Erika",https://no.wikipedia.org/wiki/Erika_Bodom,1861 - 1942,,Anna Troili,,1860 - 1943,,1922,,Op. 9,,,,,,Eget forlag,,
,K,,Kristianiamarsch,,"Bodom, Erika",https://no.wikipedia.org/wiki/Erika_Bodom,1861 - 1942,,,,,,1923,,Op. 10,,,,,,Musikcentralens Forlag,K & Co. 57,
2,K,x,Midtsommer-Serenade,https://musescore.com/user/26911315/scores/7001010,"Bodom, Erika",https://no.wikipedia.org/wiki/Erika_Bodom,1861 - 1942,,,,,,1909,,,,,,,,Haakon Zapffe,1200 (1116),
2,K,,Oslo-sangen,,"Bodom, Erika",https://no.wikipedia.org/wiki/Erika_Bodom,1861 - 1942,,Nils Collett Vogt,https://no.wikipedia.org/wiki/Nils_Collett_Vogt,1864 - 1937,,1935,,,,,,,,,,
,K,x,Sommeraften i Balholm,https://musescore.com/user/26911315/scores/8529545,"Bodom, Erika",https://no.wikipedia.org/wiki/Erika_Bodom,1861 - 1942,,,,,,1919,,Op. 8,,,,,,Eget forlag,E. B. 2,
3,,X,Norsk infanterimarsch,https://musescore.com/user/26911315/scores/11153155,"Bonferoni, Pietro",,,,,,,,1904,,Composed 1901,,,,,PDF,Haakon Zapffe,666,
3,,x,April,https://musescore.com/user/26911315/scores/15198259,"Borch, Gaston",https://en.wikipedia.org/wiki/Gaston_Borch,1871 - 1926,,"Scollard, Clinton",https://en.wikipedia.org/wiki/Clinton_Scollard,1860 - 1932,,1903,,Op. 74 No 5.,,,,,PDF,Oliver Ditson,,
4,,x,Bouton de Rose,https://musescore.com/user/26911315/scores/8142972,"Borch, Gaston",https://en.wikipedia.org/wiki/Gaston_Borch,1871 - 1926,,,,,,1891,,Op. 12,,,,,,Brødrene Hals,521,
2,,x,Romance,https://musescore.com/user/26911315/scores/24957289,"Borch, Gaston",https://en.wikipedia.org/wiki/Gaston_Borch,1871 - 1926,,,,,,1893,,Op. 33,,,,,NB,Brødrene Hals,623,
3,,x,Scandinavian Dance,https://musescore.com/user/26911315/scores/12700495,"Borch, Gaston",https://en.wikipedia.org/wiki/Gaston_Borch,1871 - 1926,,,,,,1919,,,,,,,PDF,Walter Jacobs Boston,,
3,,x,Un petit Compliment,https://musescore.com/user/26911315/scores/11484226,"Borch, Gaston",https://en.wikipedia.org/wiki/Gaston_Borch,1871 - 1926,,,,,,1893,,From opus 22,,,,,PDF,Brødrene Hals,621,
2,,x,"Valse fra ""Spansk suite""",https://musescore.com/user/26911315/scores/13715689,"Borch, Gaston",https://en.wikipedia.org/wiki/Gaston_Borch,1871 - 1926,,,,,,1896,,Op. 29 no. 1,,,,,,,,
,,x,Kadet-marsch,https://musescore.com/user/26911315/scores/6317800,"Borg, Eugen (Bjørgvin)",,1884 - 1903,,,,,,,,Published 1905,,,,,,Norsk Musikforlag,2706,
3,,,All round,,"Borg, Helge",,1894 - 1965,,,,,,1916,,,,,,,,Norsk Musikforlag,,
3,,x,Bokser Marsch,https://musescore.com/user/26911315/scores/6425591,"Borg, Oscar",https://no.wikipedia.org/wiki/Oscar_Borg,1851 - 1930,,,,,,1920,,,,,,,,,,
,,,Den Norske Løve,,"Borg, Oscar",https://no.wikipedia.org/wiki/Oscar_Borg,1851 - 1930,,,,,,,,,,,,,,,,
3,,,Fredrikstens-Marsch,,"Borg, Oscar",https://no.wikipedia.org/wiki/Oscar_Borg,1851 - 1930,,,,,,1899,,,,,,,,Carl Warmuth,2427,
,,x,Generalstabens Honnørmarsch,https://musescore.com/user/26911315/scores/9900571,"Borg, Oscar",https://no.wikipedia.org/wiki/Oscar_Borg,1851 - 1930,,,,,,1914,,,,,,,,Norsk Musikforlag,4688,
4,,x,Jernbane-Galop,https://musescore.com/user/26911315/scores/8368875,"Borg, Oscar",https://no.wikipedia.org/wiki/Oscar_Borg,1851 - 1930,,,,,,1905,,Composed 1879,,,,,,Carl Warmuth,2705,
5,,x,Kong Haakon VII's Honnør-marsch,https://musescore.com/user/26911315/scores/9110289,"Borg, Oscar",https://no.wikipedia.org/wiki/Oscar_Borg,1851 - 1930,,,,,,1905,,Op. 55,,,,,Kun PDF.,Carl Warmuth,2730,
5,,,Kronprins Olav's honnørmarsj,https://musescore.com/user/26911315/scores/7358234,"Borg, Oscar",https://no.wikipedia.org/wiki/Oscar_Borg,1851 - 1930,,,,,,,,,,,,,,,,
3,,x,Nordpol-Marsch,https://musescore.com/user/26911315/scores/6279232,"Borg, Oscar",https://no.wikipedia.org/wiki/Oscar_Borg,1851 - 1930,,,,,,1896,,Op. 33,,,,,,,,
4,,x,Norsk Turnermarsch,https://musescore.com/user/26911315/scores/7693895,"Borg, Oscar",https://no.wikipedia.org/wiki/Oscar_Borg,1851 - 1930,,,,,,1886,,Op. 11,,,,,,,,
5,,x,Revelje & Tappenstrek,https://musescore.com/user/26911315/scores/7119190,"Borg, Oscar",https://no.wikipedia.org/wiki/Oscar_Borg,1851 - 1930,,,,,,1905,,Op. 50,,,,,,Carl Warmuth,2713,
3,,x,Postage Polka,https://musescore.com/user/26911315/scores/10204261,"Brainard, Charles S.",,1839 - 1897,,,,,,1893,,Published in Christiania 1894,,,,,,Brødrene Hals,740,
,,,Bredesens vals,,"Bredesen, Gudbrand",,1833 - 1922,,,,,,1865,,,,,,,,,,
,K,x,To smaastykker,https://musescore.com/user/26911315/scores/7219416,"Brekke, Jeanette",https://www.nb.no/items/4139266f445cebe80a52872b566789eb?page=1&searchText=%22Jeanette%20Brekke%22,1862 - 1929,,,,,,1913,,,,,,,,Norsk Musikforlag,5807,
5,K,x,In die Ferne,https://musescore.com/user/26911315/scores/25140304,"Brinkmann, Minna",,1831 - 1890,,,,,,1857,,,,,,,,,,
2,K,x,En  liten Skälmunge,https://musescore.com/user/26911315/scores/25374130,Broström Hildur,https://www.swedishmusicalheritage.com/composers/brosrom-hildur/,1865 - 1948,,,,,,1896,,,,,,,,,,
3,K,x,Öländings-marsch,https://musescore.com/user/26911315/scores/7809428,Broström Hildur,https://www.swedishmusicalheritage.com/composers/brosrom-hildur/,1865 - 1948,,,,,,1893,,,,,,,,,,
3,K,x,To sange,https://musescore.com/user/26911315/scores/8285663,"Brown, Elise",,1825 - 1920,,"Bjørnson, Bjørnstjerne ",https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832 - 1910,,1877,,Real name: Lona Solberg,,,,,,Carl Warmuth,318,
3,,x,Schwarzwaldklänge,https://musescore.com/user/26911315/scores/6052958,"Brüning, Ernst",,,,,,,,1902,,,,,,,,,,
,,,Lyngblomst,,"Bræin, Edvard",https://snl.no/Edvard_Bræin,1887 - 1957,,Theodor Caspari,https://no.wikipedia.org/wiki/Theodor_Caspari,1853 - 1948,,1917,https://www.nb.no/items/f653becc73f22821395d4fccc7baf61c?page=1&searchText=%22Lyngblomst%22,,,,,,,Norsk Musikforlag,4566,
4,,x,I folkevisetone (Opus 12 No 2),https://musescore.com/user/26911315/scores/17342968,"Bruch, Max",https://en.wikipedia.org/wiki/Max_Bruch,1838 - 1920,,,,,,1861,,Nordisk Musiktidende - 1887,,,,,,Carl Warmuth,,
3,K,x,Frieden,https://musescore.com/user/26911315/scores/6365645,"Bugge, Magda",https://www.nb.no/items/452c5ba4bd248c9ee9ca46fca473a38d?page=9&searchText=%22Magda%20Bugge%22,1846 - 1923,,Nina v. Thal.,,,,Ca 1915,,Op. 14 No 3,,,,,,Oluf By,394,
,K,,Når i Sommeraftenrøden,,"Bugge, Magda",https://www.nb.no/items/452c5ba4bd248c9ee9ca46fca473a38d?page=9&searchText=%22Magda%20Bugge%22,1846 - 1923,,,,,,1884,,Nordisk Musiktidende,,,,,,,,
4,K,x,Stille der Nacht,https://musescore.com/user/26911315/scores/6365645,"Bugge, Magda",https://www.nb.no/items/452c5ba4bd248c9ee9ca46fca473a38d?page=9&searchText=%22Magda%20Bugge%22,1846 - 1923,,Nina v. Thal.,,,,Ca 1915,,Op. 14 No 1,,,,,,Oluf By,394,
5,K,x,Traum,https://musescore.com/user/26911315/scores/6365645,"Bugge, Magda",https://www.nb.no/items/452c5ba4bd248c9ee9ca46fca473a38d?page=9&searchText=%22Magda%20Bugge%22,1846 - 1923,,Nina v. Thal.,,,,Ca 1915,,Op. 14 No 2,,,,,,Oluf By,394,
4,,x,Adagio,https://musescore.com/user/26911315/scores/10648963,"Bull, Ole",https://en.wikipedia.org/wiki/Ole_Bull,1810 - 1880,,,,,,1841,,,,,,,,Norsk Musikforlag (& Carl Warmuth),1222,
,,,Bellone,,"Bull, Ole",https://en.wikipedia.org/wiki/Ole_Bull,1810 - 1880,,,,,,1845?,,Arr. Carl Grobe,,,,,,,,
,,,I ensomme stunde,,"Bull, Ole",https://en.wikipedia.org/wiki/Ole_Bull,1810 - 1880,,,,,,,,,,,,,,,,
5,,x,"Marsch af ""Washingtons Minde""",https://musescore.com/user/26911315/scores/8849223,"Bull, Ole",https://en.wikipedia.org/wiki/Ole_Bull,1810 - 1880,,,,,,1844,,Published 1885,,,,,,Carl Warmuth,1000,
,,,Valse sentimentale,,"Buvig, Jacob",,,,,,,,1887,,,,,,,,Petter Håkonsen,336,
5,,x,Tre concertetuder,https://musescore.com/user/26911315/scores/14721778,"Bøhn, Dagmar",,1872 - 1965,,,,,,1898,,Op. 1,,,,,,Carl Warmuth,2338/40,
,,,Killingdans,,"Bøhn, Gustav",,1875 - 1954,,"Garborg, Arne",https://no.wikipedia.org/wiki/Arne_Garborg,1851 - 1924,,,,Op. 10 No 2,,,,,,Oluf By,1346,
3,,x,8 orgelpreludier,https://musescore.com/user/26911315/scores/19747480,"Cappelen, Christian",https://no.wikipedia.org/wiki/Christian_Cappelen,1845 - 1916,,,,,,1887,,Nordisk Musiktidende No 1 - 1887,,,,,,Carl Warmuth,,
3,,x,Albumblade - Opus 10 no. 1,https://musescore.com/user/26911315/scores/15129322,"Cappelen, Christian",https://no.wikipedia.org/wiki/Christian_Cappelen,1845 - 1916,,,,,,1881,,,,,,,,Carl Warmuth,770,
2,,x,Albumblade - Opus 10 no. 2,https://musescore.com/user/26911315/scores/15138088,"Cappelen, Christian",https://no.wikipedia.org/wiki/Christian_Cappelen,1845 - 1916,,,,,,1881,,,,,,,,Carl Warmuth,770,
3,,x,Albumblade - Opus 10 no. 3,https://musescore.com/user/26911315/scores/15155944,"Cappelen, Christian",https://no.wikipedia.org/wiki/Christian_Cappelen,1845 - 1916,,,,,,1881,,,,,,,,Carl Warmuth,770,
4,,x,Albumblade - Opus 10 no. 4,https://musescore.com/user/26911315/scores/15168865,"Cappelen, Christian",https://no.wikipedia.org/wiki/Christian_Cappelen,1845 - 1916,,,,,,1881,,,,,,,,Carl Warmuth,770,
5,,x,Berceuse,https://musescore.com/user/26911315/scores/9086213,"Cappelen, Christian",https://no.wikipedia.org/wiki/Christian_Cappelen,1845 - 1916,,,,,,1886,,Op. 18 No 2,,,,,,Carl Warmuth,1220,
5,,x,Chanson d'espoir,https://musescore.com/user/26911315/scores/9117231,"Cappelen, Christian",https://no.wikipedia.org/wiki/Christian_Cappelen,1845 - 1916,,,,,,1886,,Op. 18 No 4,,,,,,Carl Warmuth,1220,
