Kommentarer__0-5_,Kvinne,Musescore,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Levde_når_link,Lyrikk,Lyrikk_link,Unnamed_8,Unnamed_8_link,Når_komponert,Når_komponert_link,Unnamed_10,Unnamed_10_link,Unnamed_11,Diverse_kommentarer,Diverse_kommentarer_link,Egne_noter,Forlag,Platenr_,Unnamed_16
,,,Från gamla glad tider,,"Sandell, Emrik",https://sv.wikipedia.org/wiki/Emrik_Sandell,1881 - 1955,,,,,,1927,,Potpurri,,,,,,"E. Anderssons Musikförlag, Malmö",439,
5,K,x,Julafton,https://musescore.com/user/26911315/scores/9179850,"Sandels, Ellen",https://sv.wikipedia.org/wiki/Ellen_Sandels,1859 - 1931,,,,,,1912,,,,,,,,,,
,K,x,Petit Coeur,https://musescore.com/user/26911315/scores/8523515,"Sandels, Ellen",https://sv.wikipedia.org/wiki/Ellen_Sandels,1859 - 1931,,,,,,1897,,,,,,,,,,
5,,x,Barne-Danse,https://musescore.com/user/26911315/scores/13371031,"Sander, Carl",https://nl.wikipedia.org/wiki/Carl_Sander,1857 - 1935,,,,,,1893,,,,,,,,Haakon Zapffe,80,
3,,x,Børnenes Dandse Album III,https://musescore.com/user/26911315/scores/11218597,"Sander, Carl",https://nl.wikipedia.org/wiki/Carl_Sander,1857 - 1935,,,,,,1892,,,,,,,,Carl Warmuth,1817,
4,,x,Börnenes Dandse Album IV,https://musescore.com/user/26911315/scores/9728443,"Sander, Carl",https://nl.wikipedia.org/wiki/Carl_Sander,1857 - 1935,,,,,,1895,,,,,,,,Carl Warmuth,2111,
,,x,Lover den Herre,https://musescore.com/user/26911315/scores/10077298,"Sander, Carl",https://nl.wikipedia.org/wiki/Carl_Sander,1857 - 1935,,,,,,1900,,,,,,,,Haakon Zapffe,475,
4,,x,Sverdrups Polar-marsch,https://musescore.com/user/26911315/scores/17678683,"Sander, Carl",https://nl.wikipedia.org/wiki/Carl_Sander,1857 - 1935,,,,,,1902,,,,,,,,Carl Warmuth,2551,
2,,x,Vor Gud han er saa fast en borg,https://musescore.com/user/26911315/scores/11696308,"Sander, Carl",https://nl.wikipedia.org/wiki/Carl_Sander,1857 - 1935,,,,,,1898,,Composed by Martin Luther,https://en.wikipedia.org/wiki/A_Mighty_Fortress_Is_Our_God,,,,,Haakon Zapffe,431,
,,x,In vino veritas!,https://musescore.com/user/26911315/scores/8701917,"Sandow, Johannes",,1866 - ?,,,,,,1897,,Op. 25. (Sandow lived in Christiania at the time),,,,,,Haakon Zapffe,379,
,,x,Willkommen & Auf Widersehen,https://musescore.com/user/26911315/scores/9406417,"Sandow, Johannes",,1866 - ?,,,,,,1897,,Op 24 & Op. 26,,,,,,Carl Warmuth,2062 & 2063,
,,,Dig min mor,,"Sars, Arthur Bernhard",,1888 - 1971,,Peder Møller,https://www.nb.no/items/dd5a0fea144e4475b2427a8d36db21ae?page=143&searchText=%22Peder%20Møller%22,1862 - 1941,,1926,,Op. 7,,,,,,,,
,,,Eventyrland,,"Sars, Arthur Bernhard",,1888 - 1971,,"Sars, Arthur Bernhard",,1888 - 1971,,1918,,Op. 4,,,,,,Eget forlag,4,
4,,x,Festmarsch,https://musescore.com/user/26911315/scores/20135041,"Sartz, Mathias",,1847 - 1884,,,,,,1877,,,,,,,,Røsholm,30,
,K,,Brudeslaat,,"Schenck, Thrine",,1859 - 1921,,,,,,,,,,,,,,,,
5,K,x,Vuggevise,https://musescore.com/user/26911315/scores/9152022,"Schenck, Thrine",,1859 - 1921,,,,,,1900,,Op. 3,,,,,,Carl Warmuth,2466,
,,,Leitande etter Blaaman,,"Schjelderup, Gerhard",https://en.wikipedia.org/wiki/Gerhard_Schjelderup,1859 - 1933,,"Vinje, Aasmund Olavsson",https://no.wikipedia.org/wiki/Aasmund_Olavsson_Vinje,1818 - 1870,,,,Op. 1 No 2,,,,,,,,
4,,x,Luk du til mit trætte Øie,https://musescore.com/user/26911315/scores/8616320,"Schjelderup, Gerhard",https://en.wikipedia.org/wiki/Gerhard_Schjelderup,1859 - 1933,,"Schjelderup, Gerhard",https://en.wikipedia.org/wiki/Gerhard_Schjelderup,1859 - 1933,,1920,,,,,,,,,,
4,K,x,Ak! Om jeg kunde faa hvile,https://musescore.com/user/26911315/scores/7209171,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Fredrik Döcker-Smith,,1861 - 1922,,,,Op. 51,,,,,,Hauff's Boghandel,,
3,K,x,Bagateller,https://musescore.com/user/26911315/scores/9743428,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,,,,,1903,,,,,,,,Carl Warmuth,2611,
,K,x,Barcarole,https://musescore.com/user/26911315/scores/6280624,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Anna Winge,,1860 - 1921,,1904,,Op. 44 (Urd),,,,,,Hauff's Boghandel,,
2,K,x,Barnerim,https://musescore.com/user/26911315/scores/7713416,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Lagertha Broch,https://skeivtarkiv.no/skeivopedia/lagertha-broch,1864 - 1952,,1902,,,,,,,,Haakon Zapffe,226,
,K,x,Barnerim (Pus),https://musescore.com/user/26911315/scores/6423881,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Anna Winge,,1860 - 1921,,1902,,Nylænde Mai 1902,,,,,,,,
4,K,x,Bjerken i brudeslør,https://musescore.com/user/26911315/scores/7036173,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,"Caspari, Theodor",https://no.wikipedia.org/wiki/Theodor_Caspari,1853 - 1948,,1898,,,,,,,,Haakon Zapffe,397,
3,K,x,Den dag kjem aldri,https://musescore.com/user/26911315/scores/6340844,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,"Vinje, Aasmund Olavsson",https://no.wikipedia.org/wiki/Aasmund_Olavsson_Vinje,1818 - 1870,,1904,,Op. 46 Magasinet Nylænde,,,,,,Haakon Zapffe,289,
3,K,x,Deux Romances,https://musescore.com/user/26911315/scores/9494494,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,,,,,1894,,Op. 6,,,,,,Carl Warmuth,2012,
,K,,Et Savn,,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Halfdan Christensen,https://no.wikipedia.org/wiki/Halfdan_Christensen,1873 - 1950,,1902,,Op. 33,,,,,,Haakon Zapffe,465,
4,K,x,Fest-marsch,https://musescore.com/user/26911315/scores/22391185,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,,,,,1902,,Opus 30,,,,,,,,
,K,,Græd kun du blege,,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Vilhelm Krag,https://no.wikipedia.org/wiki/Vilhelm_Krag,1871 - 1933,,1900,,Op. 10. No 1,,,,,,Carl Warmuth,2409,
3,K,x,Huldre-sang,https://musescore.com/user/26911315/scores/6743471,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Arne Garborg,https://no.wikipedia.org/wiki/Arne_Garborg,1851 - 1924,,1899,,Op. 21,,,,,,Carl Warmuth,2353,
5,K,x,Jeg kjender ei mer mine Tanker,https://musescore.com/user/26911315/scores/9125535,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Vilhelm Krag,https://no.wikipedia.org/wiki/Vilhelm_Krag,1871 - 1933,,1899,,Op. 15,,,,,,Carl Warmuth,2362,
4,K,x,Jeg synes jeg selv maa straale,https://musescore.com/user/26911315/scores/6007739,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Vilhelm Krag,https://no.wikipedia.org/wiki/Vilhelm_Krag,1871 - 1933,,1899,,Op. 16. No 1,,,,,,Carl Warmuth,2353,
3,K,x,La Ballerine,https://musescore.com/user/26911315/scores/14752894,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,,,,,1898,,Op. 14,,,,,,Carl Warmuth,2336,
2,K,x,Lullaby - Vuggesang,https://musescore.com/user/26911315/scores/8089932,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,?,,,,1905,,Op. 52,,,,,,,,
3,K,x,Nytårskveld,https://musescore.com/user/26911315/scores/22641235,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,"Caspari, Theodor",https://no.wikipedia.org/wiki/Theodor_Caspari,1853 - 1948,,1900,,Op. 25,,,,,,Carl Warmuth,2540,
3,K,x,Paa Aarets sidste Dag,https://musescore.com/user/26911315/scores/6669454,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Aslaug Bull,https://www.nb.no/items/0f4fd2dee9395bc8d3bdc2a8af71217e?page=45&searchText=%22Aslaug%20Bull%22,1858 - 1923,,1905,,Nylænde(?) Musik for Hjemmet Jan. 1928,,,,,,,,
3,K,x,Sang uden Ord,https://musescore.com/user/26911315/scores/8620562,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,,,,,1898,,Op. 13. No 2,,,,,,,,
3,K,x,Scherzo,https://musescore.com/user/26911315/scores/6369820,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Vilhelm Krag,https://no.wikipedia.org/wiki/Vilhelm_Krag,1871 - 1933,,1900,,Op. 23. No 2,,,,,,Nylænde?,,
4,K,x,Serenade,https://musescore.com/user/26911315/scores/19737538,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,,,,,1906,,Op. 55,,,,,,,,
3,K,x,Tullemors Vise,https://musescore.com/user/26911315/scores/14638078,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Anna Winge,,1860 - 1921,,1902,,Op. 33,,,,,,Carl Warmuths eftf.,2593,
2,K,x,Valmue rød!,https://musescore.com/user/26911315/scores/6073505,"Schjelderup, Mon",https://no.wikipedia.org/wiki/Mon_Schjelderup,1870 - 1934,,Fredrik Döcker-Smith,,1861 - 1922,,1905,,Op. 48,,,,,,,,
4,,x,Improvisation,https://musescore.com/user/26911315/scores/9055394,"Schorcht, Hermann",http://archivaria.com/BusDbios/BusDbios8.html,1865 - 1910,,,,,,1892,,Op. 7. No 2,,,,,,Carl Warmuth,1863,
4,,x,Nansen-sang,https://musescore.com/user/26911315/scores/25464454,"Schorcht, Hermann",http://archivaria.com/BusDbios/BusDbios8.html,1865 - 1910,,"Lykke-Seest, Peter",https://no.wikipedia.org/wiki/Peter_Lykke-Seest,1868 - 1948,,1896,,,,,,,,Haakon Zapffe,319,
3,,x,Nansens Nordpolexpedition,https://musescore.com/user/26911315/scores/6260214,"Schorcht, Hermann",http://archivaria.com/BusDbios/BusDbios8.html,1865 - 1910,,,,,,1896,,,,,,,,Haakon Zapffe,318,
3,,x,Under duftende Jasminer,https://musescore.com/user/26911315/scores/11106244,"Schorcht, Hermann",http://archivaria.com/BusDbios/BusDbios8.html,1865 - 1910,,V. Bendix,,,,1896,,,,,,,PDF,Haakon Zapffe,297,
5,K,x,12 Börnesange,https://musescore.com/user/26911315/scores/11371723,"Schytte-Jensen, Caroline",https://lokalhistoriewiki.no/wiki/Caroline_Schytte_Jensen,1848 - 1935,,Var.,,,,1902,,Op. 18,,,,,,Oluf By,31,
,K,,Du är min ro,,"Schytte-Jensen, Caroline",https://lokalhistoriewiki.no/wiki/Caroline_Schytte_Jensen,1848 - 1935,,Zacharias Topelius,https://no.wikipedia.org/wiki/Zacharias_Topelius,1818 - 1898,,,,Op 12,,,,,,,,
5,K,x,Juleklappp,https://musescore.com/user/26911315/scores/13590475,"Schytte-Jensen, Caroline",https://lokalhistoriewiki.no/wiki/Caroline_Schytte_Jensen,1848 - 1935,,Various,,,,1929,,,,,,,,Norsk Musikforlag,6531,
,,,Kadet Marsch,,"Schöien, Axel Wolfgang",,1841 - 1892,,,,,,1864,,Published,,,,,,Haakon Zapffe,1113,
4,,x,Gavotte,https://musescore.com/user/26911315/scores/18680131,"Schøyen, Karl",https://www.strindahistorielag.no/wiki/index.php/Karl_Schøyen,1862 - 1926,,,,,,1896,,First advertising in 1901,,,,,,Haakon Zapffe,274,
3,,x,Jeg synger,https://musescore.com/user/26911315/scores/14809957,"Schøyen, Karl",https://www.strindahistorielag.no/wiki/index.php/Karl_Schøyen,1862 - 1926,,,,,,1903,,,,,,,,Haakon Zapffe,313,
2,,x,Mazurka,https://musescore.com/user/26911315/scores/11122315,"Schøyen, Karl",https://www.strindahistorielag.no/wiki/index.php/Karl_Schøyen,1862 - 1926,,,,,,1898,,,,,,,,Haakon Zapffe,474,
4,,x,Til gutten min,https://musescore.com/user/26911315/scores/6343972,"Schøyen, Karl",https://www.strindahistorielag.no/wiki/index.php/Karl_Schøyen,1862 - 1926,,Hulda Garborg,https://no.wikipedia.org/wiki/Hulda_Garborg,1862 - 1934,,1898,,,,,2 eksemplar,,,Haakon Zapffe,445,
3,,x,Idylle,https://musescore.com/user/26911315/scores/24054427,"Selmer, Johan",https://no.wikipedia.org/wiki/Johan_Selmer,1844 - 1910,,,,,,1877,,Warmuths jubilee-album 1885,,,,,,,,
2,,x,Pic-Nic,https://musescore.com/user/26911315/scores/23200342,"Serrander, Samuel (Per)",https://www.svenskfilmdatabas.se/sv/item/?type=person&itemid=344237,1829 - 1912,,,,,,1894,,,,,,,,Carl Gehrmans Musikförlag,524,
3,,x,På isen,https://musescore.com/user/26911315/scores/13887628,"Serrander, Samuel (Per)",https://www.svenskfilmdatabas.se/sv/item/?type=person&itemid=344237,1829 - 1912,,,,,,1886,,,,,,,,Elkan & Schildknecht,1068,
4,,x,Bim-Bim,https://musescore.com/user/26911315/scores/11180830,"Sevaldsen, Hedley",,1877 - 1939,,,,,,1902,,,,,,,,,,
5,,x,Gamle-Heidelberg-Marsch,https://musescore.com/user/26911315/scores/10250236,"Sevaldsen, Hedley",,1877 - 1939,,,,,,1903,,Opus 3,,,,,,Carl Warmuth,2619,
3,,x,Berceuse,https://musescore.com/user/26911315/scores/8558414,"Sibelius, Jean",,1865 - 1957,,,,,,1913,,Op. 40 № 5.,,,,,,,,
4,,x,Impromptu,https://musescore.com/user/26911315/scores/19213723,"Siboni, Erik",https://biografiskleksikon.lex.dk/Erik_Siboni,1828 - 1892,,,,,,1871,,Nordisk Musiktidende 1883,,,,,,Carl Warmuth,,
,,,Mazurka,,"Sieber, Rudolf",,,,,,,,,,Nordisk Musiktidende 1887,,,,,,,,
5,K,x,Iris Polka,https://musescore.com/user/26911315/scores/21999046,"Sibbern, Hanne",https://www.nb.no/items/de69b47e31ae38e827a9b9d0b637fcb2?page=159&searchText=%221820%20paa%20Vernekloster%22,1820 - 1849,,,,,,1850,,,,,,,NB,Lindorff & Hansen,,
2,,x,Capriccioso,https://musescore.com/user/26911315/scores/25347223,"Sinding, Christian",https://en.wikipedia.org/wiki/Christian_Sinding,1856 - 1941,,,,,,1885,,Warmuths jubilee-album 1885,,,,,,Carl Warmuth,1000,
3,,,Der skreg en fugl,,"Sinding, Christian",https://en.wikipedia.org/wiki/Christian_Sinding,1856 - 1941,,Vilhelm Krag,https://no.wikipedia.org/wiki/Vilhelm_Krag,1871 - 1933,,,,Op. 18,,,,,,,,
4,,x,O sanctissima,https://musescore.com/user/26911315/scores/22179694,"Smith, Felix",,,,,,,,1898,,,,,,,,Wilhelm Hansen,,
2,,x,Efter storm,https://musescore.com/user/26911315/scores/8425961,"Smith, Gustav Kruse",,1885 - 1952,,"Schøyen, Carl",https://www.strindahistorielag.no/wiki/index.php/Karl_Schøyen,1877 - 1951,,1908,,Opus 1 № 3.,,,,,,Oluf By,375,
4,,,Gutten min sover,,"Solheim, Karsten",https://nl.wikipedia.org/wiki/Karsten_Solheim_(musicus),1869 - 1953,,,,,,,,,,,,,,Einar Kaland,87-88,
4,,,Voggesong,,"Solheim, Karsten",https://nl.wikipedia.org/wiki/Karsten_Solheim_(musicus),1869 - 1953,,Andres Hovden,https://no.wikipedia.org/wiki/Anders_Hovden,1860 - 1943,,,,,,,,,Kilde: Urd,,,
3,K,x,8 Barnesange,https://musescore.com/user/26911315/scores/10692445,"Sontum Jordan, Helene",,1854 - 1938,,Various,,,,1922,,,,,,,,Eget forlag,,
,K,x,Sommerminder,https://musescore.com/user/26911315/scores/10687195,"Sontum Jordan, Helene",,1854 - 1938,,,,,,1906,,,,,,,,C. Rabe Bergen,2,
4,K,x,Lillebil-Vals,https://musescore.com/user/26911315/scores/11906863,"Spangberg, Lulla",,,,,,,,1922,,Thora Spangberg (1890 - ?),,,,,,Heradstveit forlag,,
,,,Intermezzo,,"Spilhaugh, Axel",https://www.nb.no/items/2102762d18f7598b046ae501fc6ba6e7?page=1&searchText=spilhaug,1870 - 1902,,,,,,1902,,Op 9 № 4,,,,,,Haakon Zapffe,213,
3,,x,On the mountain farm - Paa Sætervolden,https://musescore.com/user/26911315/scores/13851187,"Spilhaugh, Axel",https://www.nb.no/items/2102762d18f7598b046ae501fc6ba6e7?page=1&searchText=spilhaug,1870 - 1902,,,,,,1902,,Op 9 № 3,,,,,,Haakon Zapffe,212,
1,,x,Rustle of the leaves - Skogsus,https://musescore.com/user/26911315/scores/13935931,"Spilhaugh, Axel",https://www.nb.no/items/2102762d18f7598b046ae501fc6ba6e7?page=1&searchText=spilhaug,1870 - 1902,,,,,,1902,,Op 9 № 1,,,,,,Haakon Zapffe,211,
,,x,Sommernattes Bleghed har du,https://musescore.com/user/26911315/scores/6258748,"Spilhaugh, Axel",https://www.nb.no/items/2102762d18f7598b046ae501fc6ba6e7?page=1&searchText=spilhaug,1870 - 1902,,Karl Bergmann,https://no.wikipedia.org/wiki/Karl_Bergmann,1882 - 1964,,1901,,Op 8 № 1 (Urd),,,,,,Urd,,
2,,x,Til Fjelds,https://musescore.com/user/26911315/scores/9946909,"Spilhaugh, Axel",https://www.nb.no/items/2102762d18f7598b046ae501fc6ba6e7?page=1&searchText=spilhaug,1870 - 1902,,,,,,1902,,Op 9 № 2,,,,,,Haakon Zapffe,211,
3,K,x,Barneminder,https://musescore.com/user/26911315/scores/9395770,"Stang, Erika",https://en.wikipedia.org/wiki/Erika_Stang,1861 - 1898,,,,,,1896,,,,,,,,Carl Warmuth,2160,
5,,x,Glade Jul,https://musescore.com/user/26911315/scores/21956467,"Steenfeldt, Peter August Damianus",,1836 - 1886,,,,,,1885,,,,,,,,Wilhelm Hansen,,
,,x,Hilsen til Østerdalen (vals) og Mazurka,https://musescore.com/user/26911315/scores/7349288,"Steen, Emil",,1860 - 1892,https://www.nb.no/items/3b938c3a0bc12422c02a71d9982e3be3?page=1&searchText=Lithograf%20%22Emil%20Steen%22,,,,,ca 1890,,,,,,,,Revuen 1890,,
4,,x,Electricitets-polka,https://musescore.com/user/26911315/scores/19301911,"Stolpe, Gustaf",https://en.wikipedia.org/wiki/Gustav_Stolpe,1833 - 1901,,,,,,1855,,Nordisk Musiktidende 1883,,,,,,Carl Warmuth,375,
5,,x,Sollys,https://musescore.com/user/26911315/scores/8648682,"Storm, Fredrik",,1847 - 1911,,Emilie Bowin,,1864 - 1941,,ca 1910,,,,,,,,"Christine Hals, Stavanger",,
3,,,Solveig,,"Strand, Einar",,,,,,,,1930,,,,,,,,,,
,,,Bertha-Rheinlender,,"Strandberg, Petter Leopold",https://www.nb.no/items/4defef84b6ff3945c026ef076e3b0890?page=1&searchText=%22Pelle%20Strandberg%22,1842 - 1916,,,,,,1884,,,,,,,,Petter Håkonsens forlag,293,
4,,x,Damernes valg,https://musescore.com/user/26911315/scores/13639111,"Strandberg, Petter Leopold",https://www.nb.no/items/4defef84b6ff3945c026ef076e3b0890?page=1&searchText=%22Pelle%20Strandberg%22,1842 - 1916,,,,,,1885,,,,,,,,Petter Håkonsens forlag,309,
2,,x,Emilie-Rheinländer,https://musescore.com/user/26911315/scores/22065763,"Strandberg, Petter Leopold",https://www.nb.no/items/4defef84b6ff3945c026ef076e3b0890?page=1&searchText=%22Pelle%20Strandberg%22,1842 - 1916,,,,,,1885,,,,,,,,Petter Håkonsens forlag,312,
4,,x,Saisonen kommer,https://musescore.com/user/26911315/scores/13868077,"Strandberg, Petter Leopold",https://www.nb.no/items/4defef84b6ff3945c026ef076e3b0890?page=1&searchText=%22Pelle%20Strandberg%22,1842 - 1916,,,,,,1887,,Opus 17,,,,,,Brødrene Hals,344,
,,x,Singers Symaskine-polka,https://musescore.com/user/26911315/scores/8870343,"Strobl, Heinrich",,1839 - 1885,,,,,,1871,,(Published Christiania 1881),,,,,,Petter Håkonsens forlag,46,
4,,,Jobber-Marsch,,"Strømbeck, Otto Wilhelm",,1891 - 1954,,Henrik Jansen,,1877 - 1923,,,,,,,Kopi fra Nasjonalbiblioteket,,,,,
4,,,Die Silbermyrte,https://musescore.com/user/26911315/scores/23360800,"Stuhlmüller, M.",,,,,,,,1891,,,,,,,,Josef Blah,653,
5,K,x,Vuggevise,https://musescore.com/user/26911315/scores/5884728,"Sundt, Helen Eger",,1869 - 1935,,Vilhelm Krag,https://no.wikipedia.org/wiki/Vilhelm_Krag,1871 - 1933,,,,Arr. Arnljot Kjeldaas,https://snl.no/Arnljot_Kjeldaas,,,,,Haakon Zapffe,98,
4,K,x,Marguerite,https://musescore.com/user/26911315/scores/12053011,"Sveen, Olea",https://www.nb.no/items/dfce69a7920d5de06b76ee9ad36803b8?page=1&searchText=%22Olea%20Seierstad%22,1873 - 1950,,,,,,1906,,,,,,,,Oluf By,283,
,,x,Defiler-Marsch,https://musescore.com/user/26911315/scores/6349317,"Svendsen, Alfred",https://www.nb.no/items/595edac0f2c1fe57b185c5c1136281d4?page=3&searchText=%22Alfred%20Svendsen%22,1853 - 1903,,,,,,1893,,,,,,,,C. Rabe Bergen,20,
5,,x,Manöver-Marsch,https://musescore.com/user/26911315/scores/8534879,"Svendsen, Alfred",https://www.nb.no/items/595edac0f2c1fe57b185c5c1136281d4?page=3&searchText=%22Alfred%20Svendsen%22,1853 - 1903,,,,,,1898,,,,,,,,Brødrene Hals,944,
4,,x,Anna-polka,https://musescore.com/user/26911315/scores/11227297,"Svendsen, Johan",https://en.wikipedia.org/wiki/Johan_Svendsen,1840 - 1911,,,,,,1883,,Composed 1854,,,,,,Carl Warmuth,871,
,,,Kroningsmarsch,,"Svendsen, Johan",https://en.wikipedia.org/wiki/Johan_Svendsen,1840 - 1911,,,,,,1873,,,,,,,,,,
5,,x,Længsel,https://musescore.com/user/26911315/scores/9777274,"Svendsen, Johan",https://en.wikipedia.org/wiki/Johan_Svendsen,1840 - 1911,,,,,,1885,,Composed 1879 in Paris,,,,,,Carl Warmuth,1000,
5,,x,Til Sæters,https://musescore.com/user/26911315/scores/11009497,"Svendsen, Johan",https://en.wikipedia.org/wiki/Johan_Svendsen,1840 - 1911,,,,,,1883,,Composed 1856,,,,,,Carl Warmuth,874,
,,,Festmarsch,,"Sylou-Creutz, Edvard",https://en.wikipedia.org/wiki/Edvard_Sylou-Creutz,1881 - 1945,,,,,,1934,,Aftenposten 1 september 1934,,,,,,,,
4,,x,Sommardag,https://musescore.com/user/26911315/scores/10727170,"Sylou-Creutz, Edvard",https://en.wikipedia.org/wiki/Edvard_Sylou-Creutz,1881 - 1945,,"Frisk, Elisabeth",https://en.wikipedia.org/wiki/Elisabeth_Frisk,1909 - 1986,,1934,,,,,,,,Norsk Musikforlag,6803,
,,x,Mustalainen,https://musescore.com/user/26911315/scores/6595400,Szentimary Elemér,http://translate.google.com/translate?hl=en&sl=auto&tl=en&u=https%3A%2F%2Fhu.wikipedia.org%2Fwiki%2FSzentirmay_Elem%25C3%25A9r,1836 - 1908,,,,,,1875,,Arr. 1897 Oskar Merikanto,,,,,,,,
,,,Til et barn,,"Sæbø, Nils",,1895 - 1959,,Herman Wildenwey,https://lokalhistoriewiki.no/wiki/Herman_Wildenvey,1885 - 1959,,,,,,,,,,,,
5,,,Mors dag,,"Sødal, Haakon",,,,Anthoni M. Ødegaard,,,,1926,,,,,,,,Musikcentralens forlag,165,
2,,x,"Bröllopsmarsch ur ""Ett Bondbröllop"".",https://musescore.com/user/26911315/scores/21145189,"Söderman,August",https://no.wikipedia.org/wiki/August_Söderman,1832 - 1876,,Richard Gustafsson,,1840 - 1918,,1868,,,,,,,,,,
,,x,Bröllops-marsch - Bröllopet på Ulfåsa,https://musescore.com/user/26911315/scores/10313452,"Söderman,August",https://no.wikipedia.org/wiki/August_Söderman,1832 - 1876,,,,,,1865,,,,,,,,Elkan och Schildknecht,287,
,,x,Norsk Normannadans fra Norge,https://musescore.com/user/26911315/scores/5863413,"Söderman,August",https://no.wikipedia.org/wiki/August_Söderman,1832 - 1876,,,,,,1868,,,,,,,,,,
5,,,Tillid,,"Søraas, Lars d.e",https://no.wikipedia.org/wiki/Lars_Søraas_d.e.,1862 - 1925,,Wilhelm Friman Koren,,,,1891,,,,,,,,,,
3,,,Englis,,"Sørensen, Anders",https://nn.wikipedia.org/wiki/Anders_Sørensen,1821 - 1896,,,,,,,,,,,,,,,,
3,,,Englis II,,"Sørensen, Anders",https://nn.wikipedia.org/wiki/Anders_Sørensen,1821 - 1896,,,,,,,,,,,,,,Oluf By,46,
4,K,,20  Lege for Börn,https://musescore.com/user/26911315/scores/7793189,"Sørlye, Wilhelmine Fredrikke",,1857 - 1936,,,,,,1898,,,,,,,,Carl Warmuth,2332,
4,K,x,Prinsesse Ingeborgs vals,https://musescore.com/user/26911315/scores/14674522,"Sørlye, Wilhelmine Fredrikke",,1857 - 1936,,,,,,1897,,,,,,,,Carl Warmuth,2254,
5,K,x,Rheinlænder,https://musescore.com/user/26911315/scores/6989848,"Teilman, Anna",,1843 - 1916,https://www.nb.no/items/d1976200d13b6f84b5c2647c7f903331?page=3&searchText=%22Anna%20Aars%22,,,,,1902,,,,,,,,Haakon Zapffe,750,
,,x,Oldsmobile-Galop,https://musescore.com/user/26911315/scores/7112117,"Teilman, Carl",,1845 - 1911,https://www.nb.no/items/ff98bfb32c094054e85ba15e9230ab45?page=1&searchText=Teilman,,,,,1905,,,,,(4-hending i 1904),,,Haakon Zapffe,430,
3,,x,Saisonens blomst,https://musescore.com/user/26911315/scores/6927156,"Teilman, Carl",,1845 - 1911,https://www.nb.no/items/ff98bfb32c094054e85ba15e9230ab45?page=1&searchText=Teilman,,,,,1897 -1898,,,,,,,,,,
,,x,Serenade,https://musescore.com/user/26911315/scores/7281638,"Teilman, Carl",,1845 - 1911,https://www.nb.no/items/ff98bfb32c094054e85ba15e9230ab45?page=1&searchText=Teilman,,,,,1890,,Fra Revuen,,,,,,Carl Warmuth,,
,,x,Vi to,https://musescore.com/user/26911315/scores/7648409,"Teilman, Carl",,1845 - 1911,https://www.nb.no/items/ff98bfb32c094054e85ba15e9230ab45?page=1&searchText=Teilman,,,,,1897,,Rheinländer,,,,,,,,
5,,x,Carmens nytaars-marsch,https://musescore.com/user/26911315/scores/22624864,"Teilman, Christian",https://nbl.snl.no/Christian_Teilman_-_2,1843 - 1909,,,,,,1892,,,,,,,,Carmen sigarettbutikk,1,
,,x,De gamles dans,https://musescore.com/user/26911315/scores/8003096,"Teilman, Christian",https://nbl.snl.no/Christian_Teilman_-_2,1843 - 1909,,,,,,1880,,,,,,,,Abraham Hirsch,,
