Kommentarer (0-5),Kvinne,Musescore,Melodi,Komponist,Levde når,Lyrikk,Unnamed: 7,Når komponert,Unnamed: 9,Unnamed: 10,Diverse kommentarer,Egne noter,Forlag,Platenr.,Unnamed: 15
2,,x,Nocturne,"Cappelen, Christian",1845 - 1916,,,1882,Op. 12,,,,Carl Warmuth,818,
4,,x,Romance,"Cappelen, Christian",1845 - 1916,,,1889,Op. 22 No 1,,,,Brødrene Hals,432,
5,,x,Saknaden,"Cappelen, Christian",1845 - 1916,Johan Henric Kellgren,1751 - 1795,1883,Op. 14 No 1,,,,Carl Warmuth,892,
,,x,Serenata,"Cappelen, Christian",1845 - 1916,,,1886,Op. 18 No 1,,,,Carl Warmuth,1220,
3,,x,Serenata,"Cappelen, Christian",1845 - 1916,,,1884,Op. 16 No 1,,,Ikke egne noter.,Carl Warmuth,973,
,,,Sukket,"Cappelen, Christian",1845 - 1916,Nikolaus Lenau,1802 - 1850,1878,Op. 5 No 1,,,Nordisk Musiktidende 1884,Carl Warmuth,,
5,,x,Taylors sang,"Cappelen, Christian",1845 - 1916,"Bjørnson, Bjørnstjerne ",1832 - 1910,1883,Op. 14 No 4,,,,Carl Warmuth,895,
1,,x,Tre Sange,"Cappelen, Christian",1845 - 1916,,,1878,Op. 5,,,,Carl Warmuth,361,
2,,x,Valse,"Cappelen, Christian",1845 - 1916,,,1886,Op. 18 No 3,,,,Carl Warmuth,1220,
5,,x,Vue,"Cappelen, Christian",1845 - 1916,,,1884,Op. 16 No 2,,,Ikke egne noter.,Carl Warmuth,974,
3,,x,Zwei Improvisatas No 1.,"Cappelen, Christian",1845 - 1916,,,1891,Op. 25 No 1,,,,Carl Warmuth,1766,
4,,x,Zwei Improvisatas No 2.,"Cappelen, Christian",1845 - 1916,,,1891,Op. 25 No 2,,,,Carl Warmuth,1766,
4,,x,Couvreur-Champagne-March,"Carl, Rudolph",,,,1901,,,,,Emile Petroe,4,
4,,x,Petite Mignonne,"Carman, Marius",1851 - 1911,,,1889?,Published in Norway 1896,,,,Haakon Zapffe,240,
5,KU,x,Mi Teresita,"Carreño, Teresa",1853 - 1917,,,1891,,,,,Carl Warmuth,1740,
4,,x,Det var slik en vakker solskinsdag,"Castberg, Torgrim",1874 - 1928,"Bjørnson, Bjørnstjerne ",1832 - 1910,1900,,,,,Carl Warmuth,,
5,,x,Ingerid Sletten,"Castberg, Torgrim",1874 - 1928,"Bjørnson, Bjørnstjerne ",1832 - 1910,1900,,,,,,,
4,,,"Tag imod Krandsen, den er til dig","Castberg, Torgrim",1874 - 1928,"Bjørnson, Bjørnstjerne ",1832 - 1910,1900,,,,,,,
3,,x,"Vesle-Blomme, Enge-Blomme","Castberg, Torgrim",1874 - 1928,"Bjørnson, Bjørnstjerne ",1832- 1910,1900,,,,,,,
5,,,Colombine,Christensen Bjarne,1888 - 1966,,,,Opus 17,,,,,,
3,,x,Mor,"Christensen, Hans",1877 - 1942,"Christensen, Hans",1877 - 1942,1911,Arr. Carl Sander,,Arr. 1923/24,,Haakon Zapffe,883,
5,,x,Vuggesang om Julekvælden,"Christiansen, Fredrik Melius",1871 - 1955,"Lange, Albert J.",1856 - 1922,1906,,,,,Haakon Zapffe,804 (6812),
5,,x,Vetteren,"Claussen, Christian",1857 - 1927,Anders Hovden,1860 - 1943,1902,Opus 4,,,,Haakon Zapffe,304,
,,,At daybreak,"Coerne, Louis A",1870 - 1922,,,1917,,,,PDF,Etude,,
,,,Meget gjerne,Cornelius,?,,,1898,,,,,Haakon Zapffe,426,
4,,x,Farväl til Wermland,"Cronholm, Axel",1840 - 1908,,,1863,,,,,Elkan & Schildknecht,157,
2,,x,La Coquette,"Czibulka, Alphonse",1842 - 1894,,,1892,Op. 374,,,,Brødrene Hals,584,
3,,x,Jultankar,"Dahl, Adrian",1864 - 1935,,,1888,Svensk Musiktidning,,,Svensk Musiktidning,,,
3,,x,Tivoli polka,"Dahl, Balduin",1834 - 1891,,,1866,,,,,Wilhelm Hansen,Tivoli-album,
5,K,x,Dig elsker jeg,"Dahl, Emma",1819 - 1896,Thomas Hood,1799 - 1845,,,Lyrcis 1840,,,,,
5,K,x,Han tvær over Bænkene hang,"Dahl, Emma",1819 - 1896,"Bjørnson, Bjørnstjerne ",1832- 1910,1864,,,,,Johan Dahl,,
3,K,x,Ich sah dich Weinen,"Dahl, Emma",1819 - 1896,,,,,,,,,,
2,K,x,Margaretes vuggesang,"Dahl, Emma",1819 - 1896,Henrik Ibsen,1828 - 1906,,,,,,,,
0,K,x,Mazurka,"Dahl, Emma",1819 - 1896,,,1844,Opus 4,,,,,,
,,,Sang til Fredrikstad,"Dahl, Ludvig",1864 - 1934,Arne Svendsen,1884 - 1958,1917,Fredrikstad-sangen,,,,,,
3,,x,Vugget paa Vaagen,"Dahl, Ludvig",1864 - 1934,"Dietrichson, Lorentz",1834 - 1917,1911,,,Einar Økland,,Einar Kaland,96,
,,,Liliekonval - Rheinländer,"Dahl, O.",,,,1894,,,,,Carl Warmuth,2007,
,,,Violerne,"Dahl, O.",,,,1896,,,,,Carl Warmuth,2151,
4,K,x,Mouritz polka,"Dahm, Thalia",1828 - 1862,,,1848,,,,NB,Edward Winther,,
5, ,x,Et enigt Norge!,"Danielsen, Daniel",1864 - 1941,,,1905,Opus 53,,,,Haakon Zapffe,704,
3,,x,Marsch fanfare,"Danielsen, Daniel",1864 - 1941,,,1922,Opus 1,,,,Eget forlag,,
,,,Den glade grei,"Danning, Christian",1867 - 1925,,,1911,Bondedans opnoteret av Danning,,,,Norsk Musikforlag,4281,
4,,x,Fest-Intrata,"Danning, Christian",1867 - 1925,,,1905,,,,,"Otto Leonhardt, Bergen",O. L.,
2,,x,Innocentia,"Danning, Christian",1867 - 1925,,,1908,,,,,Warmuths Musikforlag,2847,
4,,x,Kan du glemme gamle Norge,"Danning, Christian",1867 - 1925,Anton Sannes,1853 - 1915,1910,Artikkel,,,,Haakon Zapffe,962,
4,,x,La mer calme,"Danning, Christian",1867 - 1925,,,1911,,,,,Norsk Musikforlag,4284,
3,,x,Melodi,"Danning, Christian",1867 - 1925,,,1910,,,,,,,
4,,x,Menuet rococo,"Danning, Christian",1867 - 1925,,,1896?,,,,PDF,IMSLP,,
3,K,x,De to Drosler,"Dedekam, Sophie",1820 - 1894,Christian Winther,1796 - 1876,Before 1845,,,,,,,
4,K,x,En aften ved Alsteren,"Dedekam, Sophie",1820 - 1894,"Welhaven, Johan Sebastian",1807 - 1873,1885,Poem from 1836,,,,,,
0,K,x,En ungbirk stander ved fjorden,"Dedekam, Sophie",1820 - 1894,Jørgen Moe,1813 - 1882,,,,,,,,
2,K,x,Fedrelandssang,"Dedekam, Sophie",1820 - 1894,"Bjørnson, Bjørnstjerne ",1832- 1910,,,,,,,,
0,K,x,Naar Solen ganger til Hvile,"Dedekam, Sophie",1820 - 1894,Waldemar Thisted,1815 - 1887,,,,,,,,
,K,,"Sang fra ""Arne""","Dedekam, Sophie",1820 - 1894,Bjørnstjerne Bjørnson,1832- 1910,,,,,,,,
,K,x,Sympatier,"Dedekam, Sophie",1820 - 1894,"Welhaven, Johan Sebastian",1807 - 1873,,,,,,,,
,K,x,Taaren,"Dedekam, Sophie",1820 - 1894,Hans Christian Andersen,1805 - 1875,,,,,,,,
,,,Melodie,"Depret, J.",,,,1885,Nordisk Musiktidende - no 5 1885,,,,,,
3,,x,Auteuil Longchamp,"Desormes, Louis-César",1840 - 1898,,,1889,,,,,,,
3,,x,Bulgarische Parade-Marsch,"Diamand, Josef",1858 - 1942,,,1890,Op. 115,,,,Carl Warmuth,1671,
,,,Hochzeits-Marsch,"Diamand, Josef",1858 - 1942,,,1889,Op. 56,,,Internet,,,
