Unnamed: 0,Melodi,Komponist,Levde når,Lyrikk,Levde når.1,Når komponert,Diverse,Diverse.1,Dublett?,Forlag,Nr.,Unnamed: 12
,Den gamle spilledåse,"Dippner, Edna",1921 - 1997,"Dippner, Bern",1913 - 1977,,,,,,,
,Hem (Å gi meg et sted..),"Doon, Roy van",,,,,,,,,,
,Frihets-lengsler,"Dørumsgård, Arne",1921- 2006,Arne Paasche Aasen,1901 - 1978,1946,"Fra filmen ""Vi vil leve'",,,,,
,Til kongen,"Egge, Klaus",1906 - 1979,Arnulf Øverland,1889 - 1968,1947,,,,Harald Lyche,,
,Sigøyner-elskov,"Eggen, Johan",1894 - 1968,,,1945,Johan Petter Eggen (f. i Levanger?),,,Carl M. Iversen,180,
,Jamaica,"Eggen, Ottar",1891 - 1934,Herbert Herding-Herberth,1904 - 1958,,1. premie Oslo Sanger-forbunds konkuranse 1950,,,,,
,Jeg læser det i dine öine!,"Eidsvig, Bjarne",1899 - 1977,"Hjorth-Clausen, Christian",1864 - 1933,1922,Sjelden note!,,,Haakon Zapffe,1257,
,Oslo-sangen,"Ellgen, Einar",1897 - 1951,Nils Collett Vogt,1864 - 1937,1950,Stockholmsutstillingen 1930,,,Norsk Musikforlag,7952,
,Det är vår sommarmelodi,"Enders, Georg",1898 - 1954,Nils-Georg (Georg Eliasson),1905 - 1973,1930,,,,Nils-Georgs Musikförlag,567,
x,Din vår är min  vår,"Enders, Georg",1898 - 1954,Nils-Georg (Georg Eliasson),1905 - 1973,1927,,,,,,
,To unge hjerter,"Enders, Georg",1898 - 1954,"Carlmar, Otto",1902 - 1987,1929,,,3,,,
,Kort hjertesorg,"Engen, Erik E.",1882 - 1953,,,ca 1905,,,,,,
,Arbeidernes idrettsmarsj,"Erichsen, Hans",1890 - 1973,Arne Paasche Aasen,1901 - 1978,1936,,,,Norsk Musikforlag,7108,
,Chevalier-vals,"Erichsen, Hans",1890 - 1973,Astrid Lindberg,1908 - 1999?,1931,A. Lindberg var fra Lillehammer (Gift m. Eiliv  Lunde?),,,Norsk Musikforlag,6860,
,Deksguttens vals,"Erichsen, Hans",1890 - 1973,Per Kvist,1890 - 1947,1942,,,,,,
,En sommerkveld med bæljespell,"Erichsen, Hans",1890 - 1973,Per Kvist,1890 - 1947,,,,,Eget forlag,,
,Fra barndommens lyse dage,"Erichsen, Hans",1890 - 1973,Hermann Hermani,1898 - 1960,,,,,,,
,Grønlands Reinländer,"Erichsen, Hans",1890 - 1973,,,1932,,,,,,
,Midtsommervalsen,"Erichsen, Hans",1890 - 1973,Erlas,,,,,,Norsk Musikforlag,6906,
,Når du tenker på dem som er hjemme,"Erichsen, Hans",1890 - 1973,Per Kvist,1890 - 1947,,,,,Eget forlag,,
,Prinsesse Astrids vals,"Erichsen, Hans",1890 - 1973,Rolf Hiorth Schøyen,1887 - 1932,1942,,,,Norsk Notestik og forlag,319,
,Ragnhild,"Erichsen, Hans",1890 - 1973,Rolf Hiorth Schøyen,1887 - 1932,1906,,,,Oluf By,281,
,Seilervals,"Erichsen, Hans",1890 - 1973,Fridtjof Knutsen,1894 - 1961,1956,"""En lørdagskveld på Langåra""",,,,,
,Sørlandsminner,"Erichsen, Hans",1890 - 1973,Fridtjof Knutsen,1894 - 1961,1929,,,,Norsk Musikforlag,6483,
,Valsen til mor,"Erichsen, Hans",1890 - 1973,Ove Gude Furu,1894 - 1944,1935,,,,,,
,Ved den gamle mølle,"Erichsen, Hans",1890 - 1973,Arne Paasche Aasen,1901 - 1978,1936,Op. 71,,,,,
,Vi møtes en aften ved stranden,"Erichsen, Hans",1890 - 1973,Einar Kristoffersen,,1933,,,,,,
,Vår på Ekeberg,"Erichsen, Hans",1890 - 1973,Bias Bernhoft,1902 - 1986,1942,,,,Carl M. Iversen,403,
,Å så triller vi av sted,"Erichsen, Hans",1890 - 1973,Hermann Hermani,1898 - 1960,1941,,,,,,
,Et shinglet hjerte,"Ernst, Paul",1893 - ?,"Ernst, Paul",1893 - ?,1927,"Dansk, men musikk publisert på norsk mens han var i Norge",,,Norsk Notestik og Forlag,,
,Hjemløs,"Ernst, Paul",1893 - ?,"Syrdahl, Gretha",1900 - 1958,1926,"Komponist Dansk, musikk publisert på norsk mens han var i Norge",,,Musikcentralens forlag,206,
,Trekkspill-vals nr. 1,"Evensen, Arne",,,,,,,,Harald Henschien,,
,Vi møtes i drømme,Erik Tronrud & Karl Andersen,,,,1928,,,,,,
,"Jag kysser eder hand, Madame","Erwin, Ralph",1896 - 1943,Gösta Stevens,1897 - 1964,1928,Omtale,,,,,
,Allmogevals,"Ewald, A.",,,,1918,,,,,,
,Drømmetoner,"Fagelund, Thode",1902-1944,Øivind Lunde,,1932,,,,,,
,Den gamle smie,"Fagerlund, Åke
Sandström, Margo","1904 - 1972
1910 - 1994","Bøyesen, Carl Christian ",1917 - 1999,1942,,,,Carl Gehrmans Musikförlag,,
,Där sjön er blå,"Falk, Simon",,"Falk, Simon",,1944,,,,,,
,Kongefamiliens velkomstmarsj,"Feyling, Johan",1881 - 1954,,,1945,,,,,,
,Nå går'n på Gummisäler,"Flagstad, Lasse",1903 - 1969,"Bø, Finn",1893 - 1962,1928,Nå går'n på gummisåler,,,Norsk Musikforlag,6392,
,Det skulde ha vært mig,"Flagstad, Lasse",1903 - 1969,Herbert Herding-Herberth & Bias Bernhoft,,,,,,,,
,"Jeg gik ind, men vendte om",Floyd du Pont,1895 - 1937,"Bø, Finn",1893 - 1962,1929,Floyd du Pont var amerikaner g.m. svenske Sonja Langfeld (1931),,,Ernst Rolfs Musikförlag,,
,Blåveispike,"Foss, Kurt
Bøe, Reidar","1925 - 1991
1921 - 1969",Arne Paasche Aasen,1901 - 1978,1951,,,,Oscar Skau,323,
,De nære ting,"Foss, Kurt
Bøe, Reidar","1925 - 1991
1921 - 1969",Arne Paasche Aasen,1901 - 1978,1951,,,,,,
x,Min røde gitar,"Foss, Kurt
Bøe, Reidar","1925 - 1991
1921 - 1969",Arne Paasche Aasen,1901 - 1978,1952,,,,Oscar Skau,,
,I den blendete by,"Fossmark, Aug.",,H. Jensen,,,,,,,,
,The Heather on the Hill,Frederick Loewe,1901 - 1988,Alan Jay Lerner,1918 - 1986,1944,,,,,,
,With a little bit of luck,Frederick Loewe,1901 - 1988,Alan Jay Lerner,1918 - 1986,1956,,,,,,
,Valse Amulett,"Fredriksen, Hilmar",1914 - 1993,,,,,,,Norsk musikforlag,7264,
,Når en stjerne står tent,"Fryman-Fritz, Gustaf",,"Hagen, Egil",1912 - 2004,1946,,,,Harald Lyche,,
,Hestehandlarar,Geir Tveitt,1908 - 1981,Jacob Sande,1906 - 1967,,,,,,,
,Hestehandlarar (som sunget av Medaas),Geir Tveitt,1908 - 1981,Jacob Sande,1906 - 1967,,,,,,,
,Stackars lilla blomma,"Gilbert, Jean",1879 - 1942,?,,1916,,,,Ernst Rolf,59,
,Min Senorita,"Gjessing, Gustav Antonio",1912 - 1972,Bob Gunnér (Olgar Sundt Gundersen),1897 - 1937,1935,,,,Norsk Notestik & Forlag,,
,Mitt drømmebillede,"Gjessing, Gustav Antonio",1912 - 1972,"Gjessing, Gustav Antonio",1912 - 1972,1936,,,3,,,
,Roses in Bloom,"Gjessing, Gustav Antonio",1912 - 1972,"Mackenzie, Laurie",1902 - 1962,1935,,,,Bartnes forlag,5,
,De troløse Øine,"Graage, Ewald",1898 - ?,"Graage, Ewald",1898 - ?,1930,,,,,,
,Jeg er jo bare en kvinne,"Gran, Gerhard",,"Hansen, Juul",1913 - 1981,,,,,,,
,Juniorvalsen,"Grande, Helge",1925 - 2007,,,,,,,,,
,Hvorfor,"Greiner jr., Willy ",1919 - 1980,Petter Magnus,,,,,,,,
,I de lyse Nætter,"Grimsgaard, Birger",1886 - 1960,,,1918,,,,Norsk Musikforlag,4809,
,High-Life-Step,"Grimsgaard, Birger",1886 - 1960,,,1918,Titeltegning: Øivind Sørensen,,,,,
,Vårserenade,"Grundstrøm, Erik",,,,,1 premie komponistkonkurransen (Luvån's) 1945. ,,,,,
,Konstanse,"Gulbrandsen, Hans",,Alf Andersen,,,,,,"Harald Lyche, Drammen",,
