Unnamed: 0,Melodi,Komponist,Levde når,Lyrikk,Levde når.1,Når komponert,Diverse,Diverse.1,Dublett?,Forlag,Nr.,Unnamed: 12
,Over blånende fjell,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,,På plate allerede 1940.,,,,,
,To må man være,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,,Reklame for Nidar sjokolade,,,,,
,Under måneskinnslampen,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,1942,,,,Carl M. Iversen,239,
,Nidar,"Svendsen, Morten",1877 - 1952,,,1919,,,,,,
,Bella-Donna,Sverre Mikkelsen,,Sverre Mikkelsen,,1947?,,,,,,
,Beate-Christine,"Sylvain, Jules",1900 - 1968,Dix Denni,,,,,,Norsk Musikforlag,6445,
,Bland Kobbar og Skär,"Sylvain, Jules",1900 - 1968,Jokern,,,,,,,,
,Dansen går,"Sylvain, Jules",1900 - 1968,Herbert Herding-Herberth,1904 - 1958,1928,,,,Ernst Rolf,1606,
,De' gör gumman me',"Sylvain, Jules",1900 - 1968,Herr Dardanell (Torg Bergström),,1927,,,,,,
,"Det är den stora, stora kärleken","Sylvain, Jules",1900 - 1968,Gösta Stevens,1897 - 1964,1938,,,,,,
,"Det är ingen idé i da', Ida","Sylvain, Jules (Einar Björke)",1900 - 1968,Gösta Stevens,1897 - 1964,1930,"Fra filmen ""Kronans kavaljerer""",,,Svenska Noter,17,
,En hvit chrysantheme,"Sylvain, Jules",1900 - 1968,Rolf Hiorth Schøyen,1887 - 1932,1929,,,,Edition Sylvain,477,
,En natt i hamn,"Sylvain, Jules",1900 - 1968,"Sandberg, Sven-Olof",1905 - 1974,1929,,,,Edition Sylvain,8,
,Ett  litet eget hem,"Sylvain, Jules",1900 - 1968,Sven Paddock,1909 - 1982,1935,"Fra filmen ""För hennes skull""",,2,,,
,Flyver-valsen,"Sylvain, Jules
Winter, Fred","1900 - 1968
1892 - 1945",Herbert Herding-Herberth,1904 - 1958,1927,,,,Edition Sylvain,23,
,Før hennes skull,"Sylvain, Jules",1900 - 1968,Gösta Stevens,1897 - 1964,1930,,,,,,
,Hembygdsminnen,"Sylvain, Jules (Sigurd Hannel)",1900 - 1968,"Sandberg, Sven-Olof",1905 - 1974,1928,"Fra S/F filmen ""Lärarinna på vift""",,,,,
,Höstserenad,"Sylvain, Jules",1900 - 1968,"Sandberg, Sven-Olof",1905 - 1974,1928,,,,Ernst Rolf,386,
,Jag är inne när gumman min är inne,"Sylvain, Jules",1900 - 1968,,,1926,,,,Edition Sylvain,66,
,Kärlekens ABC,"Sylvain, Jules",1900 - 1968,Åke Søderblom-( Sven Paddock),1910 - 1965,1941,"Fra filmen ""Med hundra dragspel och en flicka""",,,Edition Sylvain,2711,
,Med dej kom våren åter till mej,"Sylvain, Jules",1900 - 1968,"Sandberg, Sven-Olof",1905 - 1974,1928,"Fra filmen ""Anna Lans""",,,Edition Sylvain,2540,
,Med hundra dragspel och en flicka,"Sylvain, Jules",1900 - 1968,Fritz Gustav,1895 - 1974,1945,,,,Edition Sylvain,191,
,Min längtans melodi,"Sylvain, Jules",1900 - 1968,"Sandberg, Sven-Olof",1905 - 1974,1943,"Fra filmen ""Kära släkten""",,,Edition Sylvain,416,
,När en stjärna från himlen faller,"Sylvain, Jules",1900 - 1968,S. S. Wilson (Anita Halldén),1878 - 1970,1930,,,,Norsk Notestik og forlag,250,
,När tvenne hjärtan slå samma slag,"Sylvain, Jules",1900 - 1968,Gösta Stevens,1897 - 1964,1933,,,,Svenska Noter,83,
,Om du ångrar dig,"Sylvain, Jules",1900 - 1968,"Sandberg, Sven-Olof",1905 - 1974,1930,"Fra filmen: ""Räkna de lyckliga stundarna blott""",,,,,
,Rosamunda fra Kristiansunda,"Sylvain, Jules",1900 - 1968,Per Kvist,1890 - 1947,1930,,,,,,
Ingen tekst,Räkna de lyckliga stundarna blott,"Sylvain, Jules",1900 - 1968,Karl-Ewert Christenson,1888 - 1965,1936,Opus 70,,,Carl M. Iversen,101,
,Säg det i toner,"Sylvain, Jules",1900 - 1968,Karl-Ewert Christenson,1888 - 1965,1929,"Fra Chat Noir-revyen ""Pus ta'n""",,,Carl M. Iversen,176,
,Si det i toner,"Sylvain, Jules",1900 - 1968,Rolf Hiorth Schøyen,1887 - 1932,1939,,,,Ernst Rolf,378,
,"Sol ute, sol inne","Sylvain, Jules",1900 - 1968,Herbert Herding-Herberth,1904 - 1958,1942,,,,Norsk Musikforlag,6193,
,Spåvalsen,"Sylvain, Jules",1900 - 1968,Nils Gustaf Granath,1896 - 1937,1925,"Fra filmen ""För hennes skull""",,,,,
x,Vintergatan,"Sylvain, Jules",1900 - 1968,"Sandberg, Sven-Olof",1905 - 1974,1927,,,2,,,
,"Åh, Isabell","Sylvain, Jules",1900 - 1968,Karl-Ewert Christenson,1888 - 1965,1930,,,,Edition Hermani,172,
,En böljesång i Solnedgång,"Sylvain, Jules
Granath, Nils-Gustaf
Landin, Nils","1900 - 1968
1896 - 1937
",,,1929,,,,,,
,Østenfor sol og vestenfor måne,"Syversen, Rolf",1920 - 1987,"Hansen, Juul",1913 - 1981,,,,,,,
,Alle tiders sommer,"Syversen, Rolf",1920 - 1987,Egil Aaeng,1915 - 1996,1945,,,,,,
,Bryggevalsen,"Syversen, Rolf",1920 - 1987,"Hansen, Juul",1913 - 1981,,,,,,,
,Du var min første kjærlighet,"Syversen, Rolf",1920 - 1987,"Hansen, Juul",1913 - 1981,ca 1942,,,,,,
,Ekko fra Romsdalshorn,"Syversen, Rolf",1920 - 1987,Jens Book Jenssen,1910 - 1999,1942,,,,,,
,En dag  vil solen skinne,"Syversen, Rolf",1920 - 1987,"Hansen, Juul",1913 - 1981,1945,,,,,,
,For deg,"Syversen, Rolf",1920 - 1987,"Hansen, Juul",1913 - 1981,1944,,,2,,,
,Gi meg et hjem,"Syversen, Rolf",1920 - 1987,"Hansen, Juul",1913 - 1981,1946,"Fra filmen ""Englandsfarere""",,,Musikk-huset,279,
,"Jeg er fra Romsdalen, Norges Tyrol","Syversen, Rolf",1920 - 1987,Jens Book Jenssen,1910 - 1999,1942,,,,Harald Lyche Drammen,,
,Får jag lämna några blommor,"Söderlundh, Lille-Bror",1912 - 1957,"Ferlin, Nils",1898 - 1961,1942,,,,"Nordisk Musikförlaget, Stockholm",2246,
,Det rider en rytter,"Sønstevold, Gunnar",1912 - 1991,Sigurd Evensmo,1912 - 1978,1946,Fra Toya-filmen,,,,,
,Ved skilleveien,"Sønstevold, Gunnar",1912 - 1991,Arne Paasche Aasen,1901 - 1978,1946,,,,,,
,Eventyrvisa,"Sønstevold, Maj",1917 - 1996,Odd Berset & Bergliot T. Farup,,1956,"Fra filmen ""Windjammer""",,,,,
,Forglemmegei,"Tangen, Asbjørn",1912 - 1993,Ernst Orvil,1898 - 1985,,,,,Eget forlag,,
,Kari waits for me,"Terry Gilkyson 
Richard Dehr
Frank Miller","1916 - 1999
1913 - 1989
1918 - 2015",,,1957,,,,,,
,Alene,"Teilman, Kåre",1907 - 1984?,"Sørlie, Rolf",,1833,,,,Abraham Lundquist,4251,
,Hvide syrener,Theo Möhrens,,Eddy Ernst,,1956,,,,,,
,Bondvals,Theodor Pinet,1875 - 1968,"Svenning, Göran",1870 - 1953,1909,1946,,,,,
x?,En prästkrage i min hand,"Thiel, Olof",1892 - 1978,Gösta Rybrant,1904 - 1967,1946,Arr. Ole Olsen (1923),,,,,
,Hennes melodi,"Thoen, Aage",1903 - 1993,,,,,,,,,
,Fra Skriverens Julebal,Thomas Henrik Møinichen,1758 - 1845,,,,,,,,,
,Mumblin Mose ,Thomas W. Thurban,1874 - 1967,,,1902,,,,,,
,Bare dig!,"Thommessen, Reidar",1889 - 1986,,,1910,,,,Norsk Musikforlag,4474,
,Be mine,"Thommessen, Reidar",1889 - 1986,,,1912,,,,Hjemmenes Notecentral,8865,
,Blomsteridyl,"Thommessen, Reidar",1889 - 1986,,,1920,,,,Kjell Koren & Co,13,
,Blue Hill,"Thommessen, Reidar",1889 - 1986,,,1924,Opus 38,,,Norsk Musikforlag,5044,
,De kyss du som roser drysset,"Thommessen, Reidar",1889 - 1986,Magnus Brostrup Landstad,1876 - 1956,1922,,,,Norsk Musikforlag,6910,
,Du,"Thommessen, Reidar",1889 - 1986,F. K. (Frithjof Knudsen),,1934,,,,Norsk Musikforlag,4806,
,Dyveke-vals,"Thommessen, Reidar",1889 - 1986,"Thommessen, Reidar",1889 - 1986,1918,,,,Haakon Zapffe,1215,
,Et drömmeslot,"Thommessen, Reidar",1889 - 1986,Jacob Anker-Paulsen,1890 - 1959,1913,,,,Norsk Musikforlag,6942,
,Elsk mig du!,"Thommessen, Reidar",1889 - 1986,Alf Rød,1894 - 1969,1936,Opus 81,,,Norsk Musikforlag,7612,
,Fantasi,"Thommessen, Reidar",1889 - 1986,Sverre Ørn,1896 - 1962,1947,"Fra filmen ""Fantegutten"".",,,Norsk Musikforlag,6878,
,Fanteguttens lengsel,"Thommessen, Reidar",1889 - 1986,Alf Rød,1894 - 1969,1932,,,,Norsk Musikforlag,6942,
,Farvel sommer,"Thommessen, Reidar",1889 - 1986,Jens Book Jenssen,1910 - 1999,1936,,,,Norsk Musikforlag,4699,
,Flirt,"Thommessen, Reidar",1889 - 1986,,,1916,Kjell Koren & Co A/S Musikforlag. 1920,,,Kjell Koren & Co,21,
,"Først alle, saa en","Thommessen, Reidar",1889 - 1986,Magnus Brostrup Landstad,1876 - 1956,1916,,,,Norsk Musikforlag,4807,
,"Hal topseil, min pige.","Thommessen, Reidar",1889 - 1986,Magnus Brostrup Landstad,1876 - 1956,1918,Opus 48,,,Ernst Rolf,369,
,Husker du vor sidste kveld?,"Thommessen, Reidar",1889 - 1986,Claus Frimann Clasen (Lyktemannen),1894 - 1970,1925,Opus 80,,,Norsk Musikforlag,7619,
,Hvorfor nettopp du?,"Thommessen, Reidar",1889 - 1986,Arne Paasche Aasen,1901 - 1978,1946,,,,Kjell Koren & Co,5,
,Høststemning,"Thommessen, Reidar",1889 - 1986,"Knudsen, Frithjof",,1920,Opus 30,,,Kjell Koren & Co,6,
,I mine drømme,"Thommessen, Reidar",1889 - 1986,"Knudsen, Frithjof",,1920,Opus 77,,,Norsk Musikforlag,7436,
,Kjærlighetens evangelium,"Thommessen, Reidar",1889 - 1986,"Clasen, Claus Frimann",1894 - 1970,1944,Opus 20,,,Norsk Musikforlag,4762,
,La Danseuse,"Thommessen, Reidar",1889 - 1986,,,1917,Opus 1?,,,Norsk Musikforlag,2923,
,Le rêve d'amour,"Thommessen, Reidar",1889 - 1986,,,1909,Opus 60,,,Skandinavisk Schlagerforlag,107,
,"Lille frøken, mitt sværmeri","Thommessen, Reidar",1889 - 1986,Rolf Hiorth-Schøyen,1887 - 1932,1930,"Opus 16, nr. 2",,,Musikcentralens forlag,123,
,Lillebarnet,"Thommessen, Reidar",1889 - 1986,"Knudsen, Frithjof",,1925,,,,Haakon Zapffe,1216,
,Lyn,"Thommessen, Reidar",1889 - 1986,Jacob Anker-Paulsen,1890 - 1959,1913,,,,Haakon Zapffe,1098,
,Min Mor,"Thommessen, Reidar",1889 - 1986,Jermias Hobber,1876 - 1938,1912,Opus 57,,,Norsk Musikforlag,6362,
,Morild,"Thommessen, Reidar",1889 - 1986,Rolf Hiorth-Schøyen,1887 - 1932,1928,Opus 50,,,Musikcentralens forlag,118,
,Nuits d'Espagne,"Thommessen, Reidar",1889 - 1986,Rudolf Mjølstad,1891 - 1967,1926,Opus 36,,,Kjell Koren,39,
,Naar Roserne dør,"Thommessen, Reidar",1889 - 1986,Sverre Øhrn,1896 - 1962,1922,,,,Norsk Musikforlag,4767,
,Naar stjernerne blinker,"Thommessen, Reidar",1889 - 1986,,,1917,Opus 68,,,Norsk Notestik og Forlag,1841,
,Når rosene blomstrer igjen,"Thommessen, Reidar",1889 - 1986,"Hagen, Egil",1912 - 2004,1937,Opus 35,,,Kjell Koren,32,
,Paa Karl Johan,"Thommessen, Reidar",1889 - 1986,"Mjølstad, Rudolf",1891 - 1967,1921,Opus 4,,,Norsk Musikforlag,4290,
,Primulaveris,"Thommessen, Reidar",1889 - 1986,,,1911,Omtale,,3,Norsk Musikforlag,6130,
,Ring Julen ind,"Thommessen, Reidar",1889 - 1986,Rudolf Mjølstad,1891 - 1967,1927,Opus 54,,,Norsk Musikforlag,5476,
,Sangen til Dig,"Thommessen, Reidar",1889 - 1986,,,1932,Opus 70,,,Norsk Musikforlag,6922,
,Si mig det jeg helst vil høre,"Thommessen, Reidar",1889 - 1986,Arne Paasche Aasen,1901 - 1978,1939,Opus 39,,,Norsk Musikforlag,5103,
,Sol over seil,"Thommessen, Reidar",1889 - 1986,Magnus Brostrup Landstad,1876 - 1956,1922-23,Opus 23,,,Norsk Musikforlag,4821,
,"Sov nu, du lille","Thommessen, Reidar",1889 - 1986,Magnus Brostrup Landstad,1876 - 1956,1919,,,,Haakon Zapffe,999,
,The lucky Moon,"Thommessen, Reidar",1889 - 1986,,,1910,,,,Norsk Musikforlag,7264,
,Valse Bohème,"Thommessen, Reidar",1889 - 1986,Arne Paasche Aasen,1901 - 1978,2-1943,,,,Norsk Musikforlag,6921,
,Valse Romantique,"Thommessen, Reidar",1889 - 1986,Magnus Brostrup Landstad,1876 - 1956,1935,,,,Ernst Rolf,288,
C,Varje liten tanke,"Thommessen, Reidar",1889 - 1986,S. S. Wilson (Anita Halldén),1878 - 1970,,,,,Norsk Musikforlag,4536?,
,Ved Løvfald,"Thommessen, Reidar",1889 - 1986,,,1914,Opus 59,,,Norsk Musikforlag,6552,
,Vuggesang for Laila,"Thommessen, Reidar",1889 - 1986,"Hiorth Schøyen, Rolf",1887 - 1932,1929,,,,Norsk Musikforlag,6282,
,Vårstemning,"Thommessen, Reidar",1889 - 1986,"Eugén, Henry",1885 - 1972,1928,,,,Harald Lyche,,
,Bamses fødselsdag,Thorbjørn Egner,1912 - 1990,Thorbjørn Egner,1912 - 1990,1953,,,,Eget forlag Grue,,
,Finnskogen vår,"Thorp, Oskar",1906 - 1983,"Thorp, Oskar",1906 - 1983,1951,,,,,,
,Elisa-vals,"Thue, Ingolf (Jonas)",1909 - 1996,Harry Andre Harzon,1912 - 2000,1933,,,,,,
,Anders og Britta,"Thörnqvist, Owe",1929 -,"Prøysen, Alf",1914 - 1970,1956,,,,,,
,En droppe zigenareblod,"Tigerström, Gunnar",1914 - 1958,"Tigerström, Gunnar",1914 - 1958,1946,,,,,,
,Alt som er skjønt og fint er,"Tognarelly, Umberto",1893 - 1934,Mogens Dam,1897 - 1979,1933,,,,Carl M. Iversen,154,
,"For deg, for meg, for oss","Tollefsen, Toralf",1914 - 1994,"Hansen, Juul",1913 - 1981,1942,,,,,,
,Sonja Marie,"Tollefsen, Toralf",1914 - 1994,Hermann Hermani,1898 - 1960,,,,,,,
x,Bestefar's vals,Tom Andy,,Arne Svendsen,1884 - 1958,1932,(Fra Fitjar),,,,,
,Ger du 17 i mej så ger jag 17 i dej,"Torbern Cassel (1900 - 1942)
Fred Winter (Sten Njurling 1892 - 1945)",,"Sandberg, Sven-Olof",1905 - 1974,1922,Amerikansk opphav?,,,Musikk-Centralen Oslo,52,
,Stjernenattens melodi,Torbjørn Moe,1920 - 2004,Torbjørn Moe?,,,Filmen: Trysil-Knut,,,,,
,En sjöman älskar havets våg,Trad,,Gustaf Arthur Ossian Limborg,1849 - 1908,<1875,,,,,,
,Skivise,Trad,,Alfred Maurstad,1896 - 1967,1941,La Mer,,,,,
,Bohus-Rillen,Trad?,,Göran Svenning,1870 - 1953,191?,,,,Norsk Musikforlag,7232,
,La mer,"Trenet, Charles",1903 - 2001,"Trenet, Charles",1903 - 2001,1945,,,,Musikk-huset,340,
,Roser og raketter,Trygve Torjussen,1885 - 1977,,,1940,Alias: H. Conn ,,2,,,
,Sjutton år,"Turesson, Gunnar",1906 - 2001,Josef Oliv,1895 - 1974,1948?,,,,,,
,Aldri mer,"Tveten, Haakon",1910 - 2004,"Hansen, Juul",1913 - 1981,,,,2,,,
,Vår i Lofoten,"Tveten, Haakon",1910 - 2004,Jens Book Jenssen,1910 - 1999,1940,,,,Carl M. Iversen,224,
x,"Mor, kjære mor","Tveten, Haakon (H. Conn)",1910 - 2004,"Hansen, Juul",1913 - 1981,1941,Alias: H. Conn ,,,Eget forlag,,
,Nu skinner solen igjen på vår lille jord,"Ulrik, Sven",1911 - 1980,"Hjort, Oluf",,1946?,Omtale,,,,,
,Brylupsmars,"Utgård, Ole B.",1905 - 1992,,,1933,,,,,,
,My heart is a Hobo,"van Heusen, James",1913 - 1990,"Burke, Johnny",1908 - 1964,1947,,Note gitt til Block-Nakkerud,,,,
,Don Juan Akaba,Viddy,,"Engelhardt-Sørlie, Rolf",,1931,Reklame for M. Glott tobakk,Note gitt til Block-Nakkerud,,Eget forlag,,
,Kronprinsesse Märthas vuggevise,"Vieth, Willie",1905 - 1968,"Carlmar, Otto",1902 - 1987,1930,,,,Norsk Musikforlag,7200,
,Nattens toner,"Vieth, Willie",1905 - 1968,"Laland, Harald",1901 - 1963,1937,"Fra filmen ""Bra Mennesker""",,,,,
,Bluberry Hill,Vincent Rose,1880 - 1944,"Larry Stock, Al Lewis",,1940,,,,,,
x,Emigrantvalsen,W. Berner (Helge Lindberg),1898 - 1973,Steinar Jørundstad,1903 - 1946,1929,Emigrantvalsen,,,,,
,I skumringens sund,"Waarum, C. T.  (Jean Carl Thor Waarum)",1912 - 1979,"Waarum, C. T.  (Jean Carl Thor Waarum)",1912 - 1979,,Trykkerieier Oslo. (Jean Carl Thor Waarum),,,,,
,Hutte-Tu!,"Waarum, Jean (Carl Thor Waarum)",1912 - 1979,"Waarum, Jean (Carl Thor Waarum)",1912 - 1979,,Trykkerieier Oslo. (Jean Carl Thor Waarum),,,,,
,Lengsel,"Waarum, Jean (Carl Thor Waarum)",1912 - 1979,"Waarum, Jean (Carl Thor Waarum)",1912 - 1979,1944,Trykkerieier Oslo. (Jean Carl Thor Waarum),,,Eget forlag,,
,Bonn-jazz,"Wahlberg, Gaston René ",1875 - 1956,"Theodor Larsson (""Skånska Lasse"")",1880 - 1937,1922,"""Johan på Snippen""",,,,,
,Dansen på Måkeskjær,"Wahlberg, Gideon",1890 - 1948,"Almquist, Eystein",1903 - 1971,1928,(Original tekst: Gideon Wahlberg),,,Kåre Korneliussen,67,
,Medan valsen går,"Ward, Charles B.",1865 - 1917,Jerico (John Eric Olausson),1890 - 1974,1942,"1895: ""The band played on""",,,,,
,Eikerjenta og Eikerpolka,"Warlo, Eivind",1913 - 1972,,,,Arr: Kåre Korneliussen,,,,,
,Zing a Little Zong,"Warren, Harry",1893- 1981,Leo Robin,1893 - 1981,,Fra en Sonja Henie-film,,,Ernst Rolf,1796,
,Är det för att jag är kär?,"Warren, Harry",1893- 1981,Roni,,1941,,,,Ernst Rolf,,
x,Klockan 12-valsen,"Wehle, Karl",1901 - 1933,Fritz Gustav,1895 - 1974,1929,,,,Oluf By,I kommisjon,
,Prins Nordanvind,"Wehle, Karl",1901 - 1933,S. S. Wilson (Anita Halldén),1878 - 1970,1929,,,,Eget forlag,,
,Det visner,"Weigner, Ludwig Moe",1905 - 1986,,,1930?,,,,,,
,Kronprinsesse Märthas vuggevise,"Wennevold, Gudrun (Engelsen) ",1882 - 1952,Gudrun (Engelsen) Wennevold,1882 - 1952,1930,Arr. A. Stensvold,,,Norsk Musikforlag,7293,
,Tango d'Amour,"Wennevold, Gudrun (Engelsen) ",1882 - 1952,Gudrun (Engelsen) Wennevold,1882 - 1952,1927,,,,Norsk Musikforlag,7609,
,Bare et ord,"Westby, Karl",1915 - 2002,Javan Røed,1913 - 2001,1944,,,,,,
,"Musikus, hvor er du?","Westby, Karl",1915 - 2002,"Westby, Karl",1915 - 2002,1945,1 pr. Jazzkonkurranse 1927,,,,,
,Choc'late Kiddie,"Westbye, Sigurd O.",1881 - 1972,Sigurd O. Westbye,1881 - 1972,1928,,,2,Oluf By,,
,Flora,"Westbye, Sigurd O.",1881 - 1972,Carl Kaas,,1927,Tilegnet H. K. H. Kronprins Olav.,,,Norsk Notestik og Forlag,178,
,Marinegasten,"Westbye, Sigurd O.",1881 - 1972,Sigurd O. Westbye,1881 - 1972,1925?,,,,Emil Carelius,390,
,Olympia-inntog ,"Westbye, Sigurd O.",1881 - 1972,,,1928,,,,Thore Bækken Trondheim,,
,Tango Valentino,"Westling, Ejnar",1896 - 1961,,,1923,,,,Norsk Musikforlag,6292,
,Souvenir Deux,"Wiborg, Rolf",1891 - 1972,,,1929,,,,Norsk Musikforlag,7286,
,Matadoren,"Widding, Arnold",1909 - 1977,,,1948,,,,Norsk Notestik og Forlag,1809,
,Minnes du?,"Wiik, Aage B.",,Anne Mathisen,,1943,,,,Bartnes forlag,12,
,Min lille Mary-Ann,Wilhelm Grosz,1894 - 1939,"Rosenlind, Olaf",1908 - 1990,1936,,,,Norsk Musikforlag,6919,
,Hansen i går'n,Will Willys (Willy Olsen),,S. Valde,,1936,,,4,,,
,Når bølgene sakte slår,Will Willys (Willy Olsen),,"Rosenlind, Olaf",1908 - 1990,1935,,,,,,
,"""Swing"" kun i din ungdoms vår",Will Willys (Willy Olsen),,S. Valde,,1942,,,,Abraham Lundquist,3418/3481,
,Bare litt med det,"Williams, Jack",,Arne Svendsen,1884 - 1958,,,,,,,
,Fryksdals-polska,"Willners, Ernst",1869 - 1947,,,1901,,,,Oslo Musikforlag,,
,En skjærgårdsvals,"Willoch, Einar (Lon Gog)",1895 - 1957,Carl Kaas,,1927,,,,Norsk Musikforlag,,
x,Orchidée,"Willoch, Einar (Lon Gog)",1895 - 1957,Lon Gog (Einar Willoch),1895 - 1957,1928,,,,Svenska Noter A/S,80,
,Å elske en sjömand,"Willoch, Einar (Lon Gog)",1895 - 1957,Lon Gog (Einar Willoch),1895 - 1957,1928,,,,Svenska Noter A/S,4,
,Då reser jag med Klara till Sahara,"Wilson, Tom (Sven-Olof Sandberg)",1905 - 1974,Nils-Georg (Georg Eliasson),1905 - 1973,1929,,,,,,
,En vårdrill,"Wilson, Tom (Sven-Olof Sandberg)",1905 - 1974,"Sandberg, Sven-Olof",1905 - 1974,1930,,,,Carl M. Iversen,193,
,Mandalay,"Winkel, Erling",1911 - 1969,Rudyard Kipling,1865 - 1936,1936,,,,Musikk-huset,447,
,Gi meg din hånd,"Winkler, Gerhard",1906 - 1977,"Hansen, Juul",1913 - 1981,,,,,Musikkhuset A/S,1547,
,Bella Bella Marie,"Winkler, Gerhard",1906 - 1977,"Hansen, Juul",1913 - 1981,1947,"Fra filmen ""Sten Stensson Steen""",,,Musikk-huset,333,
,O mia bella Napoli,"Winkler, Gerhard",1906 - 1977,Arne Bendiksen,1926 - 2009,1936,,,,,,
,Skal du älska mej i December,"Winter, Fred",1892 - 1945,Gösta Stevens,1897 - 1964,1942,,,,,,
,Dalarö-shimmyn,"Winter, Fred",1892 - 1945,Anders Eje (Axel Essén),1880 - 1951,1922,,,,,,
,"Deilig, deilig, deilig","Winter, Fred",1892 - 1945,"Carlmar, Otto",1902 - 1987,1930,"Fra filmen ""Lyckans gullgossar""",,,,,
,Det blommade två rosor,"Winter, Fred",1892 - 1945,Fritz Gustaf (Sunderlöf),1895 - 1974,1932,,,,,,
x,Nittonhundrakallt,"Winter, Fred",1892 - 1945,Anders Eje (Axel Essén),1880 - 1951,,,,,,,
,Varje steg är ett steg mot himlen,"Winter, Fred",1892 - 1945,Fritz Gustav,1895 - 1974,1932,,,,,,
,Around the World,"Young, Victor",,"Adamson, Harold",,1956,,,,Norsk Musikforlag,7383,
x,Tømmer-Jon,"Young, Victor",1899 - 1956,Arne Bendiksen,1926 - 2009,1955,,,,"Alfred Thorsing, Kjøbenhavn",97,
,La Paloma,"Yradier, S. De",1809 - 1865,,,ca 1860,,,,,,
,Der er maaske en lille Pige,"Yrneh, Alexander (Henry Carlsen)",1899 - 1955,"Carlsen, Henry",1899 - 1955,1926,,,,Berta Önnerberg,1,
,Jag skänker Er violer,"Yrneh, Alexander (Henry Carlsen)",1899 - 1955,"Sandberg, Sven-Olof",1905 - 1974,1929,,,,,,
,Brustna strängar,"Önnerberg, Berta",1886 - 1980,"Önnerberg, Berta",1886 - 1980,1925,Op. 4,,,,,
,De vackraste ögon i världen,"Önnerberg, Berta",1886 - 1980,"Westling, Ejnar",1896 - 1961,1930,,,,Edition Sylvain,183,
,Höstrosor,"Önnerberg, Berta",1886 - 1980,,,1918,,,,,,
,Augustinatt,"Önnerberg, Berta",1886 - 1980,,,,,,,,,
,I måneskin - og ved kamin,"Østhaug, Per",1912 - 1971,Jo-Jo,,1934,,,,Ernst Rolfs Musikförlag,186,
x,En bondvals til,"Åhlén, A. V.",,"Åkerblom, Ragnar",1877 - 1932,,Fremført allerede 1942,,,,,
x,En höstlåt,"Åkerblom, Oscar",,"Åkerblom, Ragnar",1877 - 1932,1920,"Fra revyen ""Å du slette tid""",,,Skandinavisk Schlagerforlag A/S,103,
,Et minne om deg,"Åse, Henning",1917 - 1985,"Åse, Henning",1917 - 1985,1944,,,,,,
,Underslag,Ukjent,,"Bø, Finn",1893 - 1962,1930,,,,"R. Westlings Musikförlag, Stockholm",,
,,,,,,,,,,,,
,Singel og sand,,,,,1939,,,,,,
,Woody Woodpecker,,,,,1954,,,,,,
